Sub,MIP_Con,Pic_Con,Avg_Pic_Rate,STAI1_pos,STAI1_neg,mood1_happy,mood1_sad,mood1_inspired,mood1_angry,STAI2_pos,STAI2_neg,mood2_happy,mood2_sad,mood2_inspired,mood2_angry,Age,"Gender (1=M,2=F)"
393,Neut,Urb,4.5,4,1.333333333,54,0,44,0,3.666666667,1.333333333,64,0,40,0,32,2
394,Neut,Nat,6.133333333,3,1,39,1,23,1,4,1,69,0,75,0,45,1
395,Neut,Anim,6.133333333,2.666666667,1,10,0,0,0,3.666666667,1,75,0,0,0,37,2
396,Neg,Nat,5.466666667,3.333333333,1,49,72,58,2,3.333333333,1,84,8,70,3,26,2
397,Neg,Anim,6.733333333,3,1.333333333,0,77,0,0,3,1,82,0,65,0,39,2
398,Neg,Urb,4.5,1.666666667,3,9,90,0,0,2.333333333,1.333333333,16,40,30,0,38,2
399,Neg,Anim,6.6,2.333333333,3.666666667,3,83,30,7,2.333333333,1.666666667,88,13,43,0,24,1
400,Neg,Urb,4.366666667,2.666666667,1.333333333,50,10,0,0,3.333333333,1,51,0,7,0,42,2
401,Neg,Nat,6.566666667,2.666666667,1.666666667,9,80,30,19,2.666666667,2,40,19,30,1,29,2
402,Neut,Urb,4.666666667,3,1.333333333,75,10,40,0,3,1.333333333,80,0,41,0,48,2
403,Neut,Nat,5.066666667,3.333333333,1.333333333,70,0,50,0,3,1.333333333,77,0,62,0,46,2
404,Neut,Urb,4.133333333,3,1,71,2,50,0,3.333333333,1,84,0,74,0,33,2
405,Neut,Urb,6.9,3,1,18,0,20,0,3,1,70,1,50,0,43,2
406,Neg,Urb,7,2,3.333333333,0,98,2,79,3,1.666666667,90,13,76,5,39,2
407,Neut,Nat,6.6,4,1,100,1,94,0,4,1,100,1,100,0,55,2
408,Neg,Urb,6.866666667,3,1,8,82,23,6,4,2,79,6,90,4,22,2
409,Neg,Anim,5.666666667,2,3,38,50,41,31,2.666666667,2.333333333,60,45,45,45,23,2
410,Neut,Anim,7,3.333333333,1,82,78,83,73,4,1,99,5,99,3,68,1
411,Neut,Anim,5.1,3,1,64,0,51,0,3,1,65,0,43,0,62,1
412,Neut,Anim,7,4,1,40,0,0,0,4,1,90,0,0,0,47,2
413,Neg,Urb,4.9,1.666666667,3,0,100,10,10,3,1,81,0,91,0,49,1
414,Neut,Anim,5.566666667,2.666666667,1,0,0,0,0,2.666666667,1,0,0,0,0,38,1
415,Neut,Nat,4.4,2,2.666666667,26,17,53,41,2,2,19,26,10,44,28,1
416,Neg,Anim,6.766666667,2.666666667,2.333333333,27,44,26,25,4,1,98,0,81,0,21,1
417,Neg,Nat,4.466666667,2,2.333333333,28,71,0,0,1.333333333,1,0,0,0,0,43,1
418,Neg,Urb,4.8,1.666666667,1.666666667,0,31,0,0,1.666666667,1,0,0,0,0,25,2
419,Neut,Anim,6.9,4,1,100,0,100,0,4,1,100,1,100,0,31,2
420,Neut,Nat,5.433333333,3,2.333333333,80,9,50,0,2.333333333,2,70,30,60,0,33,2
421,Neg,Nat,5.566666667,1,3.333333333,0,91,0,9,1.666666667,1.666666667,50,21,0,0,30,1
422,Neut,Urb,3.733333333,2.333333333,1,0,0,0,0,3,1,30,0,0,0,22,2
423,Neut,Anim,6.3,3,1.333333333,86,54,89,21,2.333333333,1.666666667,77,19,81,43,31,1
424,Neut,Anim,7,4,1,87,0,47,0,4,1,100,0,40,0,30,1
425,Neut,Nat,5.133333333,3.666666667,1,75,0,85,0,4,1,81,0,100,0,27,1
426,Neg,Nat,5.866666667,1,3,0,100,0,91,1,2,0,68,12,30,27,2
427,Neg,Nat,5.9,3,1.666666667,0,81,0,9,3,1.333333333,30,19,10,0,65,1
428,Neg,Nat,5,2.666666667,1,4,66,8,0,3.333333333,1,46,13,36,5,22,1
429,Neg,Nat,6.733333333,3,1.333333333,20,90,90,0,3.666666667,1,91,0,90,0,33,2
430,Neut,Urb,5.6,3,1,55,0,65,0,3,1,70,0,60,0,45,2
431,Neut,Nat,5.533333333,3,1,49,7,49,0,3.666666667,1,72,0,51,80,33,1
432,Neg,Urb,4.433333333,2,3,0,99,89,20,4,1,50,51,51,49,57,2
433,Neut,Urb,4.833333333,3.666666667,1,85,0,60,0,3.333333333,1,85,0,77,0,39,2
434,Neut,Anim,7,4,1,100,0,100,0,4,1,100,0,100,0,42,2
435,Neg,Anim,5.766666667,2,1.666666667,0,100,9,70,3.666666667,1,50,0,9,0,55,2
436,Neut,Anim,6.433333333,2.666666667,1,38,0,0,0,3,1,46,0,51,0,34,2
437,Neut,Anim,6.2,3,1,70,10,90,0,3.666666667,1,86,9,100,0,28,1
438,Neut,Nat,5.4,2.666666667,2.333333333,89,60,85,78,3,2.666666667,71,71,85,63,25,1
439,Neut,Urb,5.4,2.666666667,1,58,0,71,0,2,1,52,0,41,0,34,1
440,Neut,Urb,3.533333333,3.666666667,1,88,0,69,0,4,1,84,0,64,0,39,1
441,Neg,Urb,5.433333333,2,2.333333333,19,74,70,32,3.666666667,1.333333333,62,10,52,17,30,2
442,Neut,Urb,6.366666667,3,1,91,0,80,0,3,1,90,0,80,0,49,1
443,Neg,Nat,4.8,1,3,14,75,13,74,3,1,76,18,74,20,29,1
444,Neg,Urb,6.333333333,1,3.333333333,0,90,0,16,3,1,50,34,39,0,33,2
445,Neg,Urb,4.666666667,3,2.333333333,53,30,53,29,3.333333333,1.333333333,68,23,61,22,33,2
446,Neg,Anim,5.1,3.333333333,1.333333333,0,90,0,0,4,1,90,0,0,0,27,1
447,Neg,Urb,5.666666667,1,3.333333333,0,100,0,0,2.333333333,1,40,0,50,0,28,1
448,Neut,Nat,4.9,2,1,32,0,17,0,2,1,22,0,12,0,32,1
449,Neg,Urb,6.166666667,2,3,5,80,9,30,3.333333333,2,64,41,52,0,59,1
450,Neg,Anim,4.633333333,1.333333333,3.333333333,0,90,9,0,2.666666667,2,50,10,64,6,23,1
451,Neg,Nat,5.9,4,1,93,12,0,13,4,1,91,0,17,0,37,2
452,Neut,Nat,3.933333333,3,1,50,0,20,0,3,1,50,0,19,0,23,2
453,Neg,Anim,6.6,1.333333333,3,2,100,1,23,4,1,100,3,100,2,56,2
454,Neut,Nat,6.333333333,4,1,90,0,69,0,4,1,99,0,70,0,36,2
455,Neut,Anim,6.4,3,2.666666667,80,39,75,20,3,1,88,0,81,0,22,1
456,Neut,Anim,6.366666667,2.666666667,1.666666667,81,19,67,0,2.666666667,1.333333333,50,0,70,0,35,2
457,Neg,Anim,3.5,2,2.333333333,8,90,50,0,2,2.666666667,0,49,50,9,45,2
458,Neut,Urb,6.1,3.333333333,1,90,0,84,0,3.666666667,1,95,0,81,0,39,1
459,Neg,Anim,6.766666667,1.333333333,4,5,98,70,80,2.333333333,2,50,19,63,23,30,1
460,Neg,Anim,5.933333333,3,1.666666667,66,59,13,21,3.666666667,1.333333333,78,18,48,0,28,2
461,Neg,Nat,6.1,3.666666667,3,82,74,62,83,2,3,68,85,89,79,28,1
462,Neg,Nat,5.8,3.333333333,2.333333333,86,33,64,26,3.333333333,2.666666667,85,43,75,56,44,2
463,Neg,Urb,6.9,1.333333333,4,3,100,100,4,4,1,99,4,96,5,34,2
464,Neg,Anim,5.9,2,1.333333333,9,50,6,0,3,1,28,0,30,0,33,2
465,Neut,Anim,6.966666667,2.333333333,1,70,0,79,0,3.333333333,1,86,0,74,0,25,2
466,Neg,Urb,4.966666667,1.333333333,1.666666667,24,81,70,37,1.666666667,1.333333333,66,14,80,23,39,1
467,Neut,Nat,4.666666667,3.333333333,1,72,0,53,0,3,1.333333333,68,10,47,0,31,2
468,Neg,Urb,5.566666667,2.333333333,1,75,23,46,46,3,1,67,9,45,0,29,1
469,Neg,Anim,7,2,3,2,99,2,2,4,1,86,6,81,2,56,2
470,Neut,Urb,5.2,4,1,82,3,95,0,4,1,95,2,89,1,23,2
471,Neut,Nat,5.2,3,1,52,5,33,1,3,1,73,3,23,1,33,2
472,Neut,Urb,6.266666667,3,1,80,0,90,0,3.666666667,1,80,0,91,0,52,2
473,Neut,Urb,5.3,4,1,75,0,100,0,4,1,100,0,76,0,31,1
474,Neut,Urb,6.033333333,3.333333333,1,74,0,58,0,4,1,84,0,69,0,23,2
475,Neut,Urb,5,3.333333333,1.666666667,39,0,75,0,3,1.666666667,50,0,60,1,48,1
476,Neut,Urb,5.066666667,4,1,90,1,80,1,4,1,95,0,92,0,53,2
477,Neut,Urb,6,2,1,62,13,50,3,2.333333333,1.666666667,85,7,85,0,40,2
478,Neg,Anim,6.366666667,1,3,0,90,0,9,4,1,90,0,80,0,29,2
479,Neut,Urb,3.833333333,4,1,93,9,76,0,3.666666667,1.333333333,98,23,9,6,31,2
480,Neg,Urb,5.933333333,3,1,51,31,61,6,3,1,76,3,65,3,61,2
481,Neut,Anim,4.933333333,3,1,40,0,87,0,1,3,0,0,0,89,52,1
482,Neut,Urb,4.8,2,1,29,0,18,0,3,1,49,0,49,0,68,2
483,Neut,Nat,6.3,3.666666667,1,81,0,29,0,4,1,81,0,81,0,40,2
484,Neut,Nat,5.733333333,4,1,81,2,81,2,4,1,99,0,100,0,30,1
485,Neg,Urb,4.233333333,2.666666667,1.666666667,16,62,42,33,3,1.333333333,83,5,71,20,34,2
486,Neg,Urb,5.3,3,1.333333333,57,13,51,0,4,1,78,0,67,0,36,2
487,Neg,Nat,5.866666667,2.666666667,3.333333333,47,61,70,20,3,3,67,39,67,21,28,1
488,Neg,Urb,4.633333333,3,1,0,22,0,0,3,1,80,0,30,0,29,2
489,Neg,Anim,6.4,2,2.666666667,20,100,21,50,3,1,92,1,44,0,42,2
490,Neut,Urb,5.633333333,3,1,42,2,60,3,3,1,44,4,37,0,28,1
491,Neut,Urb,5.433333333,2,1,4,0,14,0,3,1,50,0,19,0,39,1
492,Neut,Nat,5.866666667,4,1,70,0,20,0,4,1,100,0,90,0,38,1
493,Neut,Anim,5.3,3.666666667,1,50,6,37,8,2,1,35,4,53,3,34,1
494,Neut,Anim,4.4,3,1.333333333,2,88,0,0,3,1.333333333,0,85,0,0,19,2
